fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
2.0567101162059633,0.8836555922403612,0.31,1.4422495703074083,0.4414004962442104,2.8438669798515654,4.326748710922225,1.0002,3.48,0.9045041696510274,2.263702391925902,6
1.8271601368635206,0.5943921952763129,0.4,1.1186889420813966,0.40412400206221905,3.4341427276599954,5.484806552432618,0.9912,3.25,0.8387206526527142,2.283051213952527,6
2.217220230966632,0.7306143574062802,0.47,1.21644039911468,0.4904868131524016,1.8171205928321394,2.4101422641752297,0.9982,3.3,0.9085602964160697,2.139974961130159,6
2.0645602309127344,0.8815159819493001,0.26,1.1696070952851465,0.4447960181138631,2.519842099789746,2.8438669798515654,0.99694,3.32,0.7774980097342586,2.11045429449015,5
2.0165296752181043,0.7306143574062802,0.49,1.3200061217959123,0.4626065009182742,3.608826080138695,5.104468722001463,0.9979,3.38,0.9966554934125964,2.139974961130159,5
1.8469147504478334,0.8193212706006459,0.15,1.21644039911468,0.42543208651150055,2.9624960684073702,3.2710663101885897,0.99314,3.32,0.9359901623141158,2.263702391925902,6
2.0,0.7937005259840997,0.39,1.375068867074141,0.43444814857686115,2.2894284851066637,3.583047871015946,0.9985,3.43,0.8527018983281598,2.2035754532216254,6
2.0165296752181043,0.8617738760127535,0.27,1.259921049894873,0.4562902635386967,1.709975946676697,4.254320865115005,0.99747,3.13,0.8527018983281598,2.0877594786634486,6
2.2571787177370006,0.5646216173286172,0.51,1.5874010519681994,0.4702669375441515,1.5874010519681994,2.8438669798515654,0.9996,3.28,0.9898982992491294,2.161592332945083,6
1.866255578408624,0.8750340122833274,0.0,1.6261333316791686,0.3848501131276806,2.2239800905693157,2.7144176165949068,0.99488,3.45,0.8242570599617114,2.2766381149625055,4
2.072351098059261,0.493242414866094,0.45,1.21644039911468,0.4217163326508746,2.154434690031884,2.7589241763811208,0.99552,3.41,0.9125805270773935,2.283051213952527,7
1.9219973427746713,0.8480926088488114,0.02,1.3572088082974534,0.43267487109222247,2.571281590658235,4.431047621693635,0.99745,3.48,0.8434326653017492,2.132671235505887,6
